id,name,timeframe,active,direction,regime_trending,regime_ranging,regime_volatile,direction_mode,sell_after_ncandles,order_amount,lookback,tolerance,ma_period,tp_pct,sl_pct,impulse,ranges,flag,last_run,bt_netgain_pct,bt_r2,prob_negative,validated,last_change_active,last_change_params,last_change_regime
02_reversal_long_4H,reversal_long_4H,4H,False,long,0.0,1.0,0.0,long_only,50,200,4,20.0,50.0,3.0,10.0,,,,,,,,,,,
03_parity_long_4H,parity_long_4H,4H,True,long,1.0,0.0,1.0,general,50,200,50,50.0,50.0,3.0,10.0,,,,,,,,,,,
04_reversal_short_4H,reversal_short_4H,4H,True,short,1.0,1.0,1.0,general,50,200,4,25.0,50.0,3.0,9.0,,,,,,,,,,,
06_reversal_long_1H,reversal_long_1H,1H,True,long,1.0,0.0,0.0,general,100,200,7,30.0,50.0,2.0,10.0,,,,,,,,,,,
07_reversal_short_1H,reversal_short_1H,1H,True,short,1.0,1.0,1.0,general,100,200,4,20.0,25.0,2.0,6.0,,,,,,,,,,,
08_reversal_long_6Hutc,reversal_long_6Hutc,6Hutc,False,long,1.0,1.0,0.0,long_only,50,200,3,20.0,50.0,4.0,10.0,,,,,,,,,,,
09_reversal_short_6Hutc,reversal_short_6Hutc,6Hutc,True,short,1.0,1.0,1.0,general,50,200,5,30.0,25.0,4.0,9.0,,,,,,,,,,,
10_parity_long_1H,parity_long_1H,1H,True,long,1.0,0.0,0.0,long_only,75,200,150,10.0,50.0,2.0,10.0,,,,,,,,,,,
11_parity_short_1H,parity_short_1H,1H,True,short,1.0,1.0,0.0,general,50,200,100,25.0,25.0,2.0,6.0,,,,,,,,,,,
12_parity_long_6Hutc,parity_long_6Hutc,6Hutc,False,long,1.0,1.0,0.0,long_only,50,200,50,40.0,25.0,3.5,10.0,,,,,,,,,,,
13_orderblocks_short_4H,orderblocks_short_4H,4H,True,short,1.0,1.0,1.0,general,50,200,50,35.0,,4.0,9.0,0.005,,,,,,,,,,
16_ranging_short_6Hutc,ranging_short_6Hutc,6Hutc,True,short,1.0,1.0,0.0,general,50,200,8,5.0,,4.0,7.0,,20.0,,,,,,,,,
17_flag_long_4H,flag_long_4H,4H,True,long,1.0,1.0,0.0,general,50,200,10,,50.0,4.0,10.0,2.0,,40.0,,,,,,,,
19_flag_short_4H,flag_short_4H,4H,True,short,1.0,1.0,1.0,general,50,200,8,,50.0,3.0,9.0,2.0,,40.0,,,,,,,,
20_flag_short_1H,flag_short_1H,1H,True,short,1.0,1.0,0.0,general,50,200,20,,50.0,2.0,7.0,2.0,,70.0,,,,,,,,
