id,symbols
03_parity_long_4H,"['BTCUSDT', 'ETHUSDT', 'SOLUSDT', 'XRPUSDT', 'HYPEUSDT', 'DOGEUSDT', 'SUIUSDT', 'ADAUSDT', 'LINKUSDT']"
10_parity_long_1H,"['BTCUSDT', 'ETHUSDT', 'SOLUSDT', 'XRPUSDT', 'HYPEUSDT', 'SUIUSDT']"
11_parity_short_1H,"['BTCUSDT', 'ETHUSDT', 'SOLUSDT', 'XRPUSDT', 'HYPEUSDT', 'SUIUSDT']"
02_reversal_long_4H,"['BTCUSDT', 'ETHUSDT', 'SOLUSDT', 'XRPUSDT', 'HYPEUSDT', 'DOGEUSDT', 'SUIUSDT', 'ADAUSDT', 'LINKUSDT', 'BNBUSDT', 'BCHUSDT', 'DOTUSDT', 'TAOUSDT', 'ENAUSDT', 'NEARUSDT', 'AAVEUSDT', 'AVAXUSDT', 'LTCUSDT', 'FARTCOINUSDT', 'ARBUSDT', 'APTUSDT', 'HBARUSDT', 'PENGUUSDT', 'HUSDT', 'WLDUSDT', 'WIFUSDT', 'SEIUSDT', 'ONDOUSDT', 'FETUSDT', 'BGBUSDT', 'SNXUSDT']"
04_reversal_short_4H,"['BTCUSDT', 'ETHUSDT', 'SOLUSDT', 'XRPUSDT', 'HYPEUSDT', 'DOGEUSDT', 'SUIUSDT', 'ADAUSDT', 'LINKUSDT', 'BNBUSDT', 'BCHUSDT', 'DOTUSDT', 'TAOUSDT', 'ENAUSDT', 'NEARUSDT', 'AAVEUSDT', 'AVAXUSDT', 'LTCUSDT', 'FARTCOINUSDT', 'ARBUSDT', 'APTUSDT', 'HBARUSDT', 'PENGUUSDT', 'HUSDT', 'WLDUSDT', 'WIFUSDT', 'SEIUSDT', 'ONDOUSDT', 'FETUSDT', 'BGBUSDT', 'SNXUSDT']"
06_reversal_long_1H,"['BTCUSDT', 'ETHUSDT', 'SOLUSDT', 'XRPUSDT', 'HYPEUSDT', 'SUIUSDT', 'DOGEUSDT', 'ADAUSDT']"
07_reversal_short_1H,"['BTCUSDT', 'ETHUSDT', 'SOLUSDT', 'XRPUSDT', 'HYPEUSDT', 'SUIUSDT', 'DOGEUSDT', 'ADAUSDT']"
08_reversal_long_6Hutc,"['BTCUSDT', 'ETHUSDT', 'SOLUSDT', 'XRPUSDT', 'DOGEUSDT', 'HYPEUSDT', 'SUIUSDT', 'ADAUSDT']"
09_reversal_short_6Hutc,"['BTCUSDT', 'ETHUSDT', 'SOLUSDT', 'XRPUSDT', 'DOGEUSDT', 'HYPEUSDT', 'SUIUSDT', 'ADAUSDT', 'BCHUSDT', 'LINKUSDT', 'BNBUSDT', 'TAOUSDT', 'DOTUSDT', 'AAVEUSDT', 'ENAUSDT', 'NEARUSDT', 'AVAXUSDT', 'ARBUSDT', 'LTCUSDT', 'FARTCOINUSDT', 'APTUSDT', 'HBARUSDT', 'PENGUUSDT', 'HUSDT', 'WLDUSDT', 'WIFUSDT', 'SEIUSDT', 'ONDOUSDT', 'FETUSDT', 'SNXUSDT', 'BGBUSDT']"
12_parity_long_6Hutc,"['BTCUSDT', 'ETHUSDT', 'SOLUSDT', 'XRPUSDT', 'DOGEUSDT', 'HYPEUSDT', 'SUIUSDT', 'ADAUSDT', 'BCHUSDT', 'LINKUSDT', 'BNBUSDT', 'TAOUSDT', 'DOTUSDT', 'AAVEUSDT', 'ENAUSDT']"
