timestamp,open,high,low,close,volume_base,volume_quote
2025-09-19,0.6686,0.9012,0.615,0.8861,460188,349271.5228
2025-09-20,0.8861,1.7894,0.8578,1.665,746084,871083.7294
2025-09-21,1.665,2.0036,1.3411,1.3974,109436022,165715024.4402
2025-09-22,1.3974,1.6599,1.2806,1.6385,259725228,379931219.4456
2025-09-23,1.6385,2.1642,1.4572,1.9597,289635370,541206053.4478
2025-09-24,1.9597,2.4349,1.9021,2.3079,285824956,639091683.8778
2025-09-25,2.3079,2.3874,1.7932,1.88,295129386,597156115.6604
2025-09-26,1.88,2.1675,1.7246,2.028,211673378,406985979.4046
2025-09-27,2.028,2.144,1.8886,1.9227,134739908,270522910.1066
2025-09-28,1.9227,1.9439,1.7042,1.8564,143211038,260726922.0804
2025-09-29,1.8564,1.9992,1.775,1.8989,150344728,284414095.8836
2025-09-30,1.8989,1.9775,1.5076,1.6225,173071126,295321293.1564
2025-10-01,1.6225,1.7396,1.511,1.6399,121813768,199750117.8312
2025-10-02,1.6399,1.8735,1.6168,1.7969,133875752,236280287.8442
2025-10-03,1.7969,2.1529,1.775,2.0829,140440434,273275047.1804
2025-10-04,2.0829,2.2789,1.9713,2.0635,154339654,323728545.3996
2025-10-05,2.0635,2.1083,1.75,1.8719,201731162,384849795.249
2025-10-06,1.8719,2.22,1.8305,2.064,231677670,469958318.1426
2025-10-07,2.064,2.19,1.9474,2.0486,138291670,284363910.3922
2025-10-08,2.0486,2.1134,1.9022,1.9309,118977078,237171473.9362
2025-10-09,1.9309,1.9309,1.5555,1.6831,173806356,305887551.4668
2025-10-10,1.6831,1.8476,0.9177,1.3241,355228268,548722102.5708
2025-10-11,1.3241,1.4144,1.1561,1.201,126815604,165011914.066
2025-10-12,1.201,1.5364,1.1606,1.4849,155841900,217032915.7424
2025-10-13,1.4849,1.5936,1.3514,1.452,153040586,224347209.6688
2025-10-14,1.452,1.5294,1.3016,1.5045,153030078,216297933.1952
2025-10-15,1.5045,1.5403,1.2635,1.284,113782762,162026364.0244
2025-10-16,1.284,1.3651,1.2011,1.2576,132008468,170116563.353
2025-10-17,1.2576,1.289,1.02,1.1575,135788497,152684380.7887
2025-10-18,1.1575,1.2361,1.1246,1.177,36248942,42910966.2853
2025-10-19,1.177,1.2416,1.1186,1.2,33461928,39644159.4833
2025-10-20,1.2,1.2591,1.1206,1.159,38573894,45643434.6089
2025-10-21,1.159,1.1923,1.024,1.0418,48919749,54533633.6472
2025-10-22,1.0418,1.0626,0.93,0.9547,70188441,69507416.3679
