timestamp,open,high,low,close,volume_base,volume_quote
2024-04-04,1.036,1.166,0.913,0.973,73957011.0,77149004.282
2024-04-05,0.973,1.063,0.862,1.016,140332269.0,134107335.982
2024-04-06,1.016,1.195,0.964,1.088,104123060.0,112823596.662
2024-04-07,1.088,1.27,1.063,1.188,117817871.0,140024062.597
2024-04-08,1.188,1.357,1.078,1.295,110650158.0,135323792.697
2024-04-09,1.295,1.404,1.195,1.241,99387341.0,128421470.315
2024-04-10,1.241,1.505,1.223,1.457,96599804.0,133640765.031
2024-04-11,1.457,1.522,1.354,1.37,71451142.0,103123438.189
2024-04-12,1.37,1.479,1.061,1.276,126060207.0,161965137.44
2024-04-13,1.276,1.34,0.906,1.047,141327478.0,159867002.597
2024-04-14,1.047,1.22,0.987,1.207,89393492.0,98519956.626
2024-04-15,1.207,1.207,1.02,1.054,68784505.0,78142009.311
2024-04-16,1.054,1.076,0.895,0.978,65908412.0,64837695.329
2024-04-17,0.978,1.053,0.904,0.925,51006173.0,49878511.252
2024-04-18,0.925,0.949,0.819,0.912,50015130.0,44672034.723
2024-04-19,0.912,1.042,0.816,0.968,52950145.0,50587080.05
2024-04-20,0.968,1.119,0.949,1.082,44748454.0,45866223.727
2024-04-21,1.082,1.106,1.025,1.049,21907999.0,23424481.047
2024-04-22,1.049,1.098,1.025,1.046,18057276.0,19112231.883
2024-04-23,1.046,1.064,0.933,0.938,26160012.0,25927359.693
2024-04-24,0.938,0.983,0.86,0.873,24979785.0,23026789.5
2024-04-25,0.873,0.905,0.833,0.872,18476950.0,15956259.629
2024-04-26,0.872,0.886,0.811,0.824,17673205.0,14891783.169
2024-04-27,0.824,0.846,0.76,0.84,27345527.0,22302399.14
2024-04-28,0.84,0.895,0.831,0.848,21535883.0,18497838.268
2024-04-29,0.848,0.943,0.775,0.927,40392476.0,34552990.381
2024-04-30,0.927,0.938,0.792,0.814,46866918.0,39637546.822
2024-05-01,0.814,0.83,0.731,0.799,41996158.0,33147385.939
2024-05-02,0.799,0.832,0.765,0.797,23463624.0,18913172.215
2024-05-03,0.797,0.877,0.782,0.851,23363445.0,19344975.941
2024-05-04,0.851,0.875,0.822,0.827,23052111.0,19397974.373
2024-05-05,0.827,0.832,0.795,0.812,12348747.0,9966811.034
2024-05-06,0.812,0.934,0.811,0.892,44757324.0,39700778.029
2024-05-07,0.892,1.004,0.855,0.917,66767103.0,61696029.436
2024-05-08,0.917,0.95,0.854,0.873,66631462.0,60191510.497
2024-05-09,0.873,0.909,0.852,0.893,27486590.0,24093030.453
2024-05-10,0.893,0.937,0.824,0.847,30067495.0,26481232.779
2024-05-11,0.847,0.871,0.837,0.841,14523258.0,12390362.986
2024-05-12,0.841,0.852,0.819,0.83,7422617.0,6229752.59
2024-05-13,0.83,0.835,0.755,0.767,30131247.0,23932185.173
2024-05-14,0.767,0.773,0.671,0.694,27845343.0,19956909.916
2024-05-15,0.694,0.749,0.666,0.734,21491505.0,15217770.903
2024-05-16,0.734,0.749,0.653,0.671,25267714.0,17691584.754
2024-05-17,0.671,0.748,0.669,0.72,16171475.0,11578853.929
2024-05-18,0.72,0.793,0.709,0.754,22314310.0,16941743.581
2024-05-19,0.754,0.757,0.698,0.713,9002898.0,6509277.855
2024-05-20,0.713,0.848,0.69,0.833,18974692.0,14460262.585
2024-05-21,0.833,0.9,0.821,0.887,33212919.0,28727498.074
2024-05-22,0.887,0.896,0.804,0.853,17222801.0,14540417.246
2024-05-23,0.853,0.91,0.831,0.867,30183595.0,26097176.791
2024-05-24,0.867,0.919,0.831,0.85,24344096.0,21166085.427
2024-05-25,0.85,0.951,0.845,0.913,19707773.0,18099505.104
2024-05-26,0.913,0.973,0.902,0.919,13297221.0,12352739.726
2024-05-27,0.919,0.955,0.891,0.921,16812147.0,15509950.742
2024-05-28,0.921,0.928,0.865,0.895,16015445.0,14337846.049
2024-05-29,0.895,0.908,0.833,0.837,10696689.0,9225923.65
2024-05-30,0.837,0.898,0.813,0.871,10436204.0,8968657.903
2024-05-31,0.871,0.91,0.861,0.879,13611774.0,12020729.758
2024-06-01,0.879,0.94,0.874,0.909,6778050.0,6118979.022
2024-06-02,0.909,0.936,0.879,0.921,12399804.0,11326143.118
2024-06-03,0.921,1.032,0.905,1.021,30210870.0,29416411.322
2024-06-04,1.021,1.074,0.94,0.978,40233879.0,39997636.524
2024-06-05,0.978,0.997,0.934,0.978,16410986.0,15889027.932
2024-06-06,0.978,1.007,0.938,0.95,10000092.0,9737111.994
2024-06-07,0.95,0.966,0.775,0.884,22729971.0,20280988.651
2024-06-08,0.884,0.89,0.813,0.831,8288842.0,7039661.629
2024-06-09,0.831,0.84,0.81,0.83,5196642.0,4275007.037
2024-06-10,0.83,0.83,0.769,0.771,9624646.0,7708268.694
2024-06-11,0.771,0.776,0.701,0.71,13421638.0,9869422.998
2024-06-12,0.71,0.788,0.684,0.731,18433211.0,13647312.282
2024-06-13,0.731,0.731,0.676,0.696,9597245.0,6725966.356
