timestamp,open,high,low,close,volume_base,volume_quote
2025-01-18,20.562,35.481,17.666,28.549,34938517.4,978273056.1054
2025-01-19,28.549,90.16,24.466,46.524,68551356.8,3718084530.9442
2025-01-20,46.524,64.017,34.544,36.538,28982971.8,1401933701.9087
2025-01-21,36.538,48.374,30.431,43.739,18880938.3,729028189.0012
2025-01-22,43.739,44.55,36.1,36.876,8521600.6,346931625.606
2025-01-23,36.876,39.6,34.093,34.708,8697814.1,318692047.629
2025-01-24,34.708,35.464,29.11,30.195,6894567.6,227332396.1303
2025-01-25,30.195,30.637,25.691,28.894,11292730.3,317579246.2532
2025-01-26,28.894,32.305,27.089,27.418,7456093.5,222044415.0798
2025-01-27,27.418,28.262,24.615,28.006,7998209.3,212203935.0017
2025-01-28,28.006,30.475,26.272,27.335,5991222.1,174012040.2598
2025-01-29,27.335,28.703,26.28,27.242,4125991.3,113426238.4527
2025-01-30,27.242,28.311,25.745,26.069,3116802.5,85043686.8088
2025-01-31,26.069,26.647,23.607,24.141,4182508.6,106783892.8108
2025-02-01,24.141,25.038,18.55,19.69,7846572.4,169438336.3357
2025-02-02,19.69,22.636,19.381,21.009,8624742.9,179300096.129
2025-02-03,21.009,21.223,15.861,19.659,9149470.3,167437809.8959
2025-02-04,19.659,19.788,16.306,17.178,5883438.9,103774100.542
2025-02-05,17.178,20.698,17.178,18.143,6067548.9,113775049.6077
2025-02-06,18.143,19.523,16.813,17.074,4821566.9,88150545.4521
2025-02-07,17.074,18.25,16.145,16.568,3085419.8,53364663.009
2025-02-08,16.568,17.48,16.19,17.241,2315246.4,39019528.0435
2025-02-09,17.241,17.945,15.295,15.865,2384492.9,39516792.9092
2025-02-10,15.865,16.549,14.26,15.904,3009452.3,47521759.8163
2025-02-11,15.904,16.8,15.212,15.348,2995375.9,47525699.1785
2025-02-12,15.348,15.581,14.447,15.451,2591315.2,39017905.3007
2025-02-13,15.451,17.876,15.292,16.284,5530446.3,92209936.3975
2025-02-14,16.284,24.575,15.824,21.571,14813328.1,303868644.2258
2025-02-15,21.571,22.393,18.087,18.673,9902868.3,201219795.3478
2025-02-16,18.673,19.629,18.213,18.732,6627467.2,124694312.9315
2025-02-17,18.732,19.335,16.842,17.169,4876522.0,87085758.7733
2025-02-18,17.169,17.419,15.605,16.375,3657769.2,60048163.0538
2025-02-19,16.375,17.423,16.052,17.024,3700350.6,62399221.893
2025-02-20,17.024,17.455,16.572,17.085,2105841.6,35621496.4912
2025-02-21,17.085,17.386,15.659,15.887,2300833.8,38176326.7636
2025-02-22,15.887,16.775,15.731,16.499,1173573.8,19115671.5696
2025-02-23,16.499,16.595,15.802,16.118,911378.2,14724703.348
2025-02-24,16.118,16.29,12.118,12.931,3219355.9,46745121.3115
2025-02-25,12.931,13.656,12.318,13.244,3009082.1,39395186.3561
2025-02-26,13.244,13.342,12.412,13.29,1719729.2,22207221.7307
2025-02-27,13.29,13.637,12.308,12.593,1415405.6,18519740.3413
2025-02-28,12.593,13.542,11.07,12.956,4305643.0,51783807.6498
2025-03-01,12.956,14.5,12.667,13.152,3718198.9,49952285.4971
2025-03-02,13.152,17.744,13.13,16.957,6705816.7,100485596.9302
2025-03-03,16.957,17.0,12.371,12.815,5689816.0,83922462.4065
2025-03-04,12.815,13.173,11.666,12.972,3382323.3,41829429.9213
2025-03-05,12.972,13.681,12.659,13.21,1874336.5,24693696.6777
2025-03-06,13.21,13.87,12.847,13.076,2161137.6,28885646.7747
2025-03-07,13.076,13.346,12.179,12.352,2751655.5,35247405.6273
2025-03-08,12.352,12.422,11.709,12.019,1268474.8,15327426.5701
2025-03-09,12.019,12.169,10.483,10.695,2003859.6,22303173.4684
2025-03-10,10.695,11.58,10.174,10.29,2149777.0,23381109.6782
2025-03-11,10.29,10.89,9.53,10.499,2288587.2,23441144.0291
2025-03-12,10.499,10.851,10.033,10.561,1574674.1,16373526.2063
2025-03-13,10.561,12.435,10.266,10.714,3327000.1,35853063.8911
