timestamp,open,high,low,close,volume_base,volume_quote
2026-01-07,79.48,79.81,76.84,79.07,36439.74,2859419.8355
2026-01-08,79.07,79.58,73.83,76.82,54334.77,4139467.3393
2026-01-09,76.82,80.59,75.76,79.73,72696.34,5723954.4444
2026-01-10,79.73,81.9,79.24,79.93,23008.07,1846793.7798
2026-01-11,79.93,81.81,79.93,81.54,19102.97,1538201.316
2026-01-12,81.54,86.29,81.54,84.5,136965.23,11596766.0444
2026-01-13,84.5,89.2,83.66,87.96,159964.64,13908730.1266
2026-01-14,87.96,93.94,87.86,92.33,261181.73,23850241.113
2026-01-15,92.33,93.2,86.82,91.64,325899.44,29469587.0741
2026-01-16,91.64,92.2,87.12,90.06,245629.33,22069672.7655
2026-01-17,90.06,90.44,89.84,90.14,21992.76,1981354.6234
2026-01-18,90.14,94.11,89.91,93.16,87697.53,8054357.9567
2026-01-19,93.16,94.89,92.46,93.73,203284.24,19042972.8364
2026-01-20,93.73,96.02,92.74,94.96,253795.15,23991971.4984
2026-01-21,94.96,95.66,90.4,91.18,374651.74,35051594.3668
2026-01-22,91.18,97.0,91.07,96.95,269589.14,25476047.6863
2026-01-23,96.95,104.35,96.69,104.15,440721.36,44086152.7415
2026-01-24,104.15,104.53,102.96,103.35,173586.27,17985782.6657
2026-01-25,103.35,106.61,101.0,104.91,295161.65,30751071.2239
2026-01-26,104.91,118.53,102.51,107.04,1380004.97,151488935.3077
2026-01-27,107.04,113.72,104.36,112.91,1599088.99,175646344.6907
2026-01-28,112.91,119.54,110.59,117.79,1576805.97,180442282.4988
2026-01-29,117.79,121.79,107.49,117.59,2930160.99,338790548.2504
2026-01-30,117.59,118.55,76.06,85.98,8936338.68,852229721.5537
2026-01-31,85.98,87.9,83.8,85.31,493099.62,42199058.9113
2026-02-01,85.31,85.45,77.85,82.13,706000.56,58277514.1448
2026-02-02,82.13,88.31,72.14,82.86,5361586.48,424564035.2016
2026-02-03,82.86,89.41,81.3,84.62,2909278.54,248054219.1614
2026-02-04,84.62,92.36,83.66,89.54,2520643.88,221474346.1994
2026-02-05,89.54,90.46,66.89,67.17,4428754.93,339745523.8482
2026-02-06,67.17,78.32,64.51,77.71,2621547.49,190356385.5415
2026-02-07,77.71,78.13,77.57,77.96,103245.15,8038621.5498
2026-02-08,77.96,80.22,77.73,79.69,217641.58,17134339.2211
2026-02-09,79.69,84.17,78.63,81.83,1094263.6,89062931.4497
2026-02-10,81.83,83.1,79.94,81.44,1052887.79,85923870.6326
2026-02-11,81.44,86.39,81.09,82.86,1181934.63,99402154.3227
2026-02-12,82.86,84.22,74.1,75.29,2362756.82,186348619.1257
2026-02-13,75.29,79.41,74.82,77.32,1961312.95,152206267.0082
2026-02-14,77.32,77.53,77.31,77.47,62022.85,4804049.6023
2026-02-15,77.47,78.74,74.88,76.31,339467.5,26105616.8154
2026-02-16,76.31,77.65,74.73,76.48,1000347.37,76536006.2273
2026-02-17,76.48,76.54,72.03,72.51,2568258.52,189961652.731
2026-02-18,72.51,78.38,72.4,77.2,1367268.81,103808463.6515
2026-02-19,77.2,79.53,76.46,77.96,1204772.59,94035856.5937
2026-02-20,77.96,84.83,77.49,84.52,1516588.04,122859880.7424
2026-02-21,84.52,84.96,84.43,84.76,90754.2,7683379.2178
2026-02-22,84.76,87.1,84.63,86.83,258373.42,22059305.5317
2026-02-23,86.83,89.12,85.14,88.14,1355306.05,117795041.8551
2026-02-24,88.14,88.91,84.84,87.25,1588769.18,138593118.9599
2026-02-25,87.25,91.34,86.79,87.54,2320954.75,208556932.4528
2026-02-26,87.54,90.31,85.18,88.17,2023529.15,177907540.7981
2026-02-27,88.17,94.04,87.74,93.75,2606778.96,238457947.6136
2026-02-28,93.75,96.34,93.4,94.2,935334.95,88500235.6376
2026-03-01,94.2,98.04,93.47,95.11,1040692.87,99288296.8413
2026-03-02,95.11,96.2,86.45,90.02,3123166.02,287281310.3342
2026-03-03,90.02,91.33,78.01,83.0,4413584.84,367922815.4059
2026-03-04,83.0,86.76,81.94,84.05,2598911.86,219482681.8445
2026-03-05,84.05,85.59,80.57,82.8,2737475.55,226742472.9667
2026-03-06,82.8,85.0,81.69,84.36,2273276.63,189991386.9825
2026-03-07,84.36,84.62,84.26,84.44,60282.2,5090589.7792
2026-03-08,84.44,85.06,80.91,81.88,504988.13,41893019.899
2026-03-09,81.88,88.11,79.63,87.42,1913305.53,160184595.3333
2026-03-10,87.42,90.0,86.55,88.37,1798221.46,159058765.0603
2026-03-11,88.37,89.39,84.37,84.59,1774085.36,153084032.4015
2026-03-12,84.59,87.44,82.81,84.0,1870067.67,159796813.6423
2026-03-13,84.0,85.39,79.47,80.66,2137104.92,176185314.8351
2026-03-14,80.66,80.71,80.48,80.64,77890.45,6279052.3138
2026-03-15,80.64,80.69,79.27,80.15,414178.86,33166127.4238
2026-03-16,80.15,81.69,77.11,81.18,2640239.02,210602133.8383
2026-03-17,81.18,82.54,78.32,79.24,1438038.22,115720495.9307
2026-03-18,79.24,80.19,75.08,75.97,3074547.17,239507800.445
2026-03-19,75.97,76.75,65.65,72.64,9155655.41,652156083.6537
2026-03-20,72.64,74.62,67.81,67.93,3783504.64,268825144.9807
2026-03-21,67.93,68.31,67.87,67.92,160280.68,10896812.87
2026-03-22,67.92,69.69,66.93,68.18,658342.96,44925053.7464
2026-03-23,68.18,70.81,61.26,69.84,9084340.89,604583478.5611
2026-03-24,69.84,73.1,66.04,72.96,6757788.84,465199267.2308
2026-03-25,72.96,74.56,70.42,70.71,3387353.47,246633298.8955
2026-03-26,70.71,72.21,66.76,68.69,6888497.91,474574705.0007
2026-03-27,68.69,71.67,67.43,69.82,3866273.55,267758104.38
2026-03-28,69.82,69.89,69.75,69.82,71785.21,5013326.6334
2026-03-29,69.82,70.08,67.69,68.1,719349.16,49420288.5132
2026-03-30,68.1,71.89,67.78,69.95,2986976.23,209336454.9298
2026-03-31,69.95,75.6,69.04,74.92,3500449.23,255984297.0824
2026-04-01,74.92,76.08,73.79,75.31,2845642.72,213237021.1645
2026-04-02,75.31,75.83,69.56,72.92,4636818.96,333193991.5993
2026-04-03,72.92,73.05,72.87,72.93,145297.65,10598155.7005
2026-04-04,72.93,73.02,72.89,72.93,36908.13,2692961.6176
2026-04-05,72.93,72.94,71.2,71.71,591660.23,42701079.8733
2026-04-06,71.71,73.58,71.65,72.86,2645693.54,192326786.7836
2026-04-07,72.86,77.05,69.78,76.61,4251528.9,308638443.0817
2026-04-08,76.61,77.61,73.49,73.73,3043874.59,231141609.4574
2026-04-09,73.73,76.65,72.91,75.4,3141006.07,235398971.7712
2026-04-10,75.4,76.84,74.8,75.9,3724054.11,282585808.6384
2026-04-11,75.9,75.98,75.85,75.91,185463.08,14077199.1437
2026-04-12,75.91,75.92,72.74,73.91,636836.3,47282292.9264
2026-04-13,73.91,75.96,73.59,75.72,5162530.69,385017969.7969
