timestamp,open,high,low,close,volume_base,volume_quote
2025-11-11,373.43,391.25,359.93,368.19,4519.59,1700869.9311
2025-11-12,368.19,393.21,366.94,388.91,3220.7,1232446.7644
2025-11-13,388.91,404.32,371.75,385.34,3054.37,1183432.9193
2025-11-14,385.34,403.0,377.15,393.0,4203.21,1639078.873
2025-11-15,393.0,438.43,392.44,419.38,7976.01,3372819.2758
2025-11-16,419.38,439.57,383.44,408.18,8435.48,3481525.1078
2025-11-17,408.18,420.67,392.58,408.14,5973.76,2445526.1429
2025-11-18,408.14,415.41,394.23,402.85,4947.58,1995783.5754
2025-11-19,402.85,403.73,353.83,367.17,8090.33,3009288.4249
2025-11-20,367.17,376.38,336.01,339.6,5262.51,1877615.5851
2025-11-21,339.6,353.07,319.56,335.39,5234.33,1751717.1254
2025-11-22,335.39,373.44,335.39,368.9,3682.16,1300357.8247
2025-11-23,368.9,407.13,367.62,389.5,6170.78,2422042.722
2025-11-24,389.5,392.26,379.4,386.29,2154.27,832071.972
2025-11-25,386.29,400.46,370.23,384.99,1998.69,769292.1211
2025-11-26,384.99,406.41,384.51,398.87,3100.21,1230274.5661
2025-11-27,398.87,412.61,390.49,408.57,1982.35,793042.2788
2025-11-28,408.57,418.78,400.51,412.26,3664.37,1497341.5055
2025-11-29,412.26,418.3,407.35,413.91,2245.92,927321.9702
2025-11-30,413.91,438.32,408.93,435.29,2523.54,1066407.7327
2025-12-01,435.29,436.15,389.61,406.04,7379.82,3049233.5818
2025-12-02,406.04,419.95,385.85,397.0,5120.82,2047461.3457
2025-12-03,397.0,417.49,392.5,407.66,2417.54,978134.8082
2025-12-04,407.66,410.42,400.06,402.74,1418.62,574252.7836
2025-12-05,402.74,406.85,390.59,399.56,1123.32,448055.6738
2025-12-06,399.56,400.34,389.21,393.44,979.38,384584.0746
2025-12-07,393.44,393.44,360.72,362.53,2402.34,902418.3391
2025-12-08,362.53,380.93,360.72,374.21,2072.21,771302.301
2025-12-09,374.21,388.61,360.79,388.61,1927.33,717947.878
2025-12-10,388.61,409.67,386.07,403.42,3477.88,1392082.6759
2025-12-11,403.42,417.25,397.59,407.52,3577.86,1452717.5909
2025-12-12,407.52,420.07,396.43,405.68,2576.65,1049227.2098
2025-12-13,405.68,419.75,405.01,414.08,1643.79,678122.64
2025-12-14,414.08,418.04,406.97,409.26,1904.0,782763.2948
2025-12-15,409.26,416.93,398.63,409.8,3011.36,1227677.1
2025-12-16,409.8,434.16,406.04,429.87,4298.8,1809618.256
2025-12-17,429.87,438.29,417.62,417.67,7244.88,3100734.3127
2025-12-18,417.67,448.15,407.73,414.35,10807.13,4622458.2361
2025-12-19,414.35,446.39,413.22,440.91,7343.87,3175986.794
2025-12-20,440.91,499.53,435.6,475.21,8373.37,3928441.5054
2025-12-21,475.21,477.78,457.48,471.52,4789.98,2234862.4592
2025-12-22,471.52,484.01,453.54,464.04,5428.66,2544236.6876
2025-12-23,464.04,466.63,433.32,449.0,7201.26,3211304.4382
2025-12-24,449.0,450.59,424.12,435.16,4592.91,1991564.1403
2025-12-25,435.16,448.35,433.9,444.27,3780.48,1669985.2221
2025-12-26,444.27,451.33,435.71,445.3,2829.2,1251382.2734
2025-12-27,445.3,463.77,444.22,453.55,4989.87,2263486.8843
2025-12-28,453.55,463.62,442.2,453.47,4739.25,2145449.9787
2025-12-29,453.47,462.98,437.25,438.33,4108.63,1837212.2905
2025-12-30,438.33,442.31,428.39,440.08,2270.34,986015.3361
2025-12-31,440.08,445.47,433.67,434.73,2427.33,1066750.1762
2026-01-01,434.73,435.34,415.78,420.91,3545.97,1502695.2868
2026-01-02,420.91,427.09,412.47,425.38,3878.23,1629150.6004
