timestamp,open,high,low,close,volume_base,volume_quote
2026-04-01,103.84,104.65,99.78,100.38,75380.57,7648734.9328
2026-04-02,100.38,109.71,98.98,108.6,331702.55,35668519.2392
2026-04-03,108.6,110.01,107.97,109.55,25215.32,2750883.9285
2026-04-04,109.55,109.84,109.24,109.6,11572.2,1268193.0911
2026-04-05,109.6,111.73,109.35,111.18,72921.87,8060351.1506
2026-04-06,111.18,111.19,106.52,110.19,373283.49,40779596.2642
2026-04-07,110.19,111.67,90.14,94.89,811807.01,81644213.047
2026-04-08,94.89,96.87,90.08,96.01,751878.69,70809574.2028
2026-04-09,96.01,97.84,92.46,94.56,588070.06,56184120.8177
2026-04-10,94.56,95.73,91.56,92.02,322378.41,30220452.5051
2026-04-11,92.02,92.44,87.35,89.86,108518.04,9794911.1614
2026-04-12,89.86,100.87,89.21,98.81,464455.54,44699770.4868
2026-04-13,98.81,99.25,92.23,92.85,559316.74,53739381.9475
