timestamp,open,high,low,close,volume_base,volume_quote
2025-08-27,307.89,312.09,306.33,308.52,531.52,164075.4922
2025-08-28,308.52,314.29,306.41,307.55,78.3,24310.3742
2025-08-29,307.55,309.11,303.28,303.54,84.58,25754.3908
2025-08-30,303.54,305.59,303.54,304.07,0.82,249.8634
2025-08-31,304.07,304.07,304.07,304.07,0.82,249.8634
2025-09-01,304.07,304.07,304.07,304.07,0.82,249.8634
2025-09-02,304.07,307.47,298.02,305.8,96.2,29307.8662
2025-09-03,305.8,306.57,301.81,301.81,61.0,18534.5168
2025-09-04,301.81,308.61,300.68,306.7,45.06,13726.8622
2025-09-05,306.7,312.87,294.6,298.78,67.64,20329.8792
2025-09-06,298.78,298.78,297.47,298.78,1.26,375.9388
2025-09-07,298.78,298.78,298.78,298.78,1.26,375.9388
2025-09-08,298.78,306.35,298.78,303.42,65.98,19886.9354
2025-09-09,303.42,318.75,301.4,316.33,191.86,60010.4044
2025-09-10,316.33,325.56,315.07,317.02,197.84,63293.6744
2025-09-11,317.02,322.78,316.8,321.0,50.9,16209.0068
2025-09-12,321.0,328.32,319.31,323.66,81.08,26434.339
2025-09-13,323.66,323.89,323.66,323.89,0.16,51.8224
2025-09-14,323.89,323.89,323.89,323.89,0.16,51.8224
2025-09-15,323.89,328.15,320.62,327.65,840.36,271634.2876
2025-09-16,327.65,334.74,323.83,328.01,269.78,88059.049
2025-09-17,328.01,328.01,312.97,320.99,130.1,41647.1386
2025-09-18,320.99,350.96,320.99,341.64,539.6,184720.6966
2025-09-19,341.64,348.28,337.33,343.32,664.56,229208.5664
2025-09-20,343.32,343.39,342.95,342.95,34.74,11927.3448
2025-09-21,342.95,342.95,342.95,342.95,34.74,11927.3448
2025-09-22,342.95,342.95,328.28,332.22,469.72,155973.767
2025-09-23,332.22,335.43,318.01,319.84,527.5,173907.225
2025-09-24,319.84,325.72,319.45,323.08,483.86,156214.2442
2025-09-25,323.08,323.08,304.75,306.46,604.68,189235.8748
2025-09-26,306.46,313.19,303.59,311.89,231.8,71336.6168
2025-09-27,311.89,311.89,311.89,311.89,231.8,71336.6168
2025-09-28,311.89,311.89,311.89,311.89,231.8,71336.6168
2025-09-29,311.89,333.83,311.89,333.11,1213.24,393231.8774
2025-09-30,333.11,337.29,327.93,334.86,335.86,111811.8214
2025-10-01,334.86,349.54,333.96,345.54,220.46,75607.2792
2025-10-02,345.54,375.23,345.54,371.77,1547.5,560095.4362
2025-10-03,371.77,383.0,369.56,379.01,1150.22,431975.1566
2025-10-04,379.01,379.01,379.01,379.01,1150.22,431975.1566
2025-10-05,379.01,379.01,379.01,379.01,1150.22,431975.1566
2025-10-06,379.01,390.74,379.01,384.91,691.92,267448.6296
2025-10-07,384.91,386.03,363.65,375.67,3789.84,1417942.889
2025-10-08,375.67,389.75,372.07,386.5,923.32,352218.0286
2025-10-09,386.5,391.89,379.87,385.85,2173.98,839096.2686
2025-10-10,385.85,401.41,336.07,348.67,9997.2,3731620.808
2025-10-11,348.67,348.67,348.67,348.67,9997.2,3731620.808
2025-10-12,348.67,348.67,348.67,348.67,9997.2,3731620.808
2025-10-13,348.67,369.2,344.89,356.68,6812.22,2420046.2852
2025-10-14,356.68,359.51,336.68,343.43,2851.94,986197.3592
2025-10-15,343.43,348.6,333.66,337.24,1264.06,433150.441
2025-10-16,337.24,341.8,327.7,328.49,7356.9,2475673.868
2025-10-17,328.49,337.75,314.37,337.67,8374.935,2732541.3572
2025-10-18,337.67,337.67,337.67,337.67,8374.935,2732541.3572
2025-10-19,337.67,337.67,337.67,337.67,8374.935,2732541.3572
2025-10-20,337.67,352.6,337.67,345.04,1102.81,383098.7775
2025-10-21,345.04,345.04,333.85,333.85,892.26,303673.1204
2025-10-22,333.85,334.48,311.0,318.22,4284.7,1372016.9718
2025-10-23,318.22,327.75,318.22,324.27,2571.43,830317.9559
2025-10-24,324.27,355.4,323.84,354.48,6097.93,2037625.497
2025-10-25,354.48,354.48,354.48,354.48,6097.93,2037625.497
2025-10-26,354.48,354.48,354.48,354.48,6097.93,2037625.497
2025-10-27,354.48,372.19,354.48,359.75,2840.7,1035117.6847
2025-10-28,359.75,366.67,352.57,356.09,1100.91,396970.9305
2025-10-29,356.09,358.72,346.67,346.67,1582.25,556919.2401
2025-10-30,346.67,351.22,326.67,339.86,4573.39,1546075.483
2025-10-31,339.86,360.54,336.73,344.46,5251.31,1834681.6961
