timestamp,open,high,low,close,volume_base,volume_quote
2025-11-04,145.01,146.84,110.13,120.62,173838.38,21866238.4612
2025-11-05,120.62,122.58,100.26,104.14,188912.1,20633996.798
2025-11-06,104.14,129.22,97.13,113.06,256407.85,29458902.6275
2025-11-07,113.06,122.76,100.22,101.31,194572.56,21701105.8248
2025-11-08,101.31,103.17,75.0,81.62,223157.64,18659777.1108
2025-11-09,81.62,95.51,72.91,81.76,195154.45,16655510.7168
2025-11-10,81.76,85.51,71.3,72.72,86937.68,6842236.45
2025-11-11,72.72,77.41,65.59,67.02,78078.27,5471026.1002
2025-11-12,67.02,72.41,63.52,67.13,72840.56,4984048.4081
2025-11-13,67.13,71.62,61.57,63.7,83393.07,5610018.7179
2025-11-14,63.7,77.97,61.43,74.34,96260.6,6839707.7774
2025-11-15,74.34,94.44,70.13,92.7,409892.58,34322981.6276
2025-11-16,92.7,112.95,83.0,85.63,481893.42,44018022.3191
2025-11-17,85.63,89.47,78.47,82.21,182144.89,15146632.4019
2025-11-18,82.21,82.21,73.18,77.59,79151.04,6074713.6842
2025-11-19,77.59,82.37,72.45,79.56,73014.63,5602354.7305
2025-11-20,79.56,85.58,72.64,72.71,79367.4,6223806.8669
2025-11-21,72.71,74.12,58.54,60.48,101287.69,6647163.4858
2025-11-22,60.48,61.51,52.7,57.07,58409.18,3279213.1755
2025-11-23,57.07,62.13,56.35,56.45,50769.97,3019412.0309
2025-11-24,56.45,60.84,54.86,56.69,45520.62,2599082.876
2025-11-25,56.69,57.66,54.26,57.36,23358.39,1308158.1804
2025-11-26,57.36,69.5,57.36,69.38,121731.97,7678230.046
2025-11-27,69.38,70.85,61.3,61.63,69423.07,4538976.2248
2025-11-28,61.63,61.66,57.09,58.18,59427.44,3492256.147
2025-11-29,58.18,58.64,55.75,56.6,17797.33,1015708.8735
2025-11-30,56.6,57.34,53.18,53.34,18656.93,1030663.5321
2025-12-01,53.34,53.4,46.57,48.3,68597.95,3367776.7206
2025-12-02,48.3,51.05,46.05,47.4,47446.31,2272153.9333
2025-12-03,47.4,52.67,46.2,48.78,66207.0,3281085.6704
2025-12-04,48.78,51.05,47.02,49.42,43158.22,2121740.1111
2025-12-05,49.42,52.4,46.37,46.96,64495.43,3178177.8107
2025-12-06,46.96,48.84,46.06,47.33,29856.92,1412143.9466
2025-12-07,47.33,47.53,43.36,44.46,45003.89,2026909.4747
2025-12-08,44.46,52.56,44.3,49.58,85726.66,4239641.6799
2025-12-09,49.58,51.3,47.2,50.38,96113.77,4734243.0093
2025-12-10,50.38,53.1,46.42,46.81,71102.03,3535945.6378
2025-12-11,46.81,49.54,45.46,48.01,51055.18,2430825.7018
2025-12-12,48.01,48.59,45.41,46.46,29853.96,1406367.5172
2025-12-13,46.46,47.07,44.12,44.85,31787.46,1444222.8491
2025-12-14,44.85,45.4,40.61,40.94,34213.36,1478832.8337
2025-12-15,40.94,43.62,39.09,40.85,58314.0,2412249.213
2025-12-16,40.85,42.54,39.18,41.04,48713.44,1996242.1097
2025-12-17,41.04,41.43,37.92,38.05,33481.95,1330272.411
2025-12-18,38.05,39.19,35.09,35.72,39623.84,1478917.209
2025-12-19,35.72,39.7,35.07,38.57,59766.16,2242469.5975
2025-12-20,38.57,41.24,38.37,40.05,52660.37,2090352.177
2025-12-21,40.05,40.05,37.55,38.32,34820.86,1351766.7043
2025-12-22,38.32,39.34,37.2,38.37,56112.93,2134184.0806
2025-12-23,38.37,38.96,36.66,37.74,38711.27,1451753.8337
2025-12-24,37.74,38.51,36.18,38.29,35431.51,1329854.2895
2025-12-25,38.29,40.31,37.79,37.91,59375.1,2327593.8989
2025-12-26,37.91,39.79,37.77,39.21,21838.01,849694.0929
2025-12-27,39.21,47.09,39.03,44.56,219832.79,9656009.5542
2025-12-28,44.56,45.82,43.42,43.96,66754.51,2959570.3292
2025-12-29,43.96,45.13,41.81,42.37,105855.48,4606565.1111
2025-12-30,42.37,43.66,42.11,42.6,21059.99,900759.8818
2025-12-31,42.6,43.42,40.62,41.59,44260.48,1863059.0544
2026-01-01,41.59,44.4,40.95,43.33,69265.75,2967838.0209
2026-01-02,43.33,43.46,41.06,42.72,46173.22,1942133.0734
2026-01-03,42.72,45.11,42.16,43.21,44446.67,1920269.3703
2026-01-04,43.21,44.11,42.31,43.35,63326.29,2721263.5587
2026-01-05,43.35,44.47,42.35,44.06,73929.61,3195880.3223
2026-01-06,44.06,46.69,42.84,44.58,74620.58,3343554.7738
2026-01-07,44.58,44.66,40.37,40.9,59899.94,2525852.3804
2026-01-08,40.9,41.42,37.54,38.66,57935.64,2268582.4896
2026-01-09,38.66,39.57,37.56,37.84,46901.25,1808284.2109
2026-01-10,37.84,37.91,36.63,37.29,38269.42,1424578.2359
2026-01-11,37.29,38.17,36.57,37.24,21484.74,806755.2741
2026-01-12,37.24,39.46,36.78,39.41,99456.16,3797158.2396
2026-01-13,39.41,67.7,39.17,58.69,2274462.71,129916293.7683
