timestamp,open,high,low,close,volume_base,volume_quote
2026-03-31,0.5886,0.7449,0.5886,0.6568,17004131,11421610.5079
2026-04-01,0.6568,0.7031,0.6037,0.6941,14873492,9717516.9338
2026-04-02,0.6941,0.7972,0.6635,0.7808,9485623,6875527.4791
2026-04-03,0.7808,1.193,0.7498,1.1287,45374263,46005872.5487
2026-04-04,1.1287,1.1468,0.8243,0.8813,38423543,37051131.0877
2026-04-05,0.8813,0.9548,0.8411,0.9134,19146139,17094458.6903
2026-04-06,0.9134,0.9773,0.8617,0.924,10675981,9654831.8888
2026-04-07,0.924,1.1322,0.9016,1.0711,20413738,20961799.5888
2026-04-08,1.0711,1.1605,0.93,0.9817,17779625,18379170.9485
2026-04-09,0.9817,1.0245,0.9105,0.9726,7205912,6957382.3936
2026-04-10,0.9726,1.0252,0.9585,1.0024,5381338,5325160.2648
2026-04-11,1.0024,1.025,0.9783,1.0039,2099665,2103794.8296
2026-04-12,1.0039,1.0225,0.8631,0.884,6051378,5587678.4308
2026-04-13,0.884,0.9119,0.7839,0.8929,5376665,4619919.2374
