timestamp,open,high,low,close,volume_base,volume_quote
2025-10-17,3.542,4.403,2.904,3.72,2794299,10025116.8195
2025-10-18,3.72,5.479,3.099,4.366,6545994,27791016.4205
2025-10-19,4.366,4.621,3.58,4.001,3214696,12971767.228
2025-10-20,4.001,4.35,3.442,4.235,2676135,10468686.102
2025-10-21,4.235,9.017,3.95,5.551,9350163,56070413.143
2025-10-22,5.551,8.73,4.642,8.1,10656770,76334373.103
2025-10-23,8.1,10.441,7.338,9.692,8823164,77941674.67
2025-10-24,9.692,10.399,6.603,6.718,3746623,32611654.9
2025-10-25,6.718,7.875,6.411,7.508,1786507,12557022.083
2025-10-26,7.508,7.66,6.91,7.308,694857,5037061.159
2025-10-27,7.308,7.767,6.619,7.268,875485,6259608.178
2025-10-28,7.268,8.731,6.94,8.159,3247711,25887820.188
2025-10-29,8.159,8.454,7.616,8.236,942171,7510003.244
2025-10-30,8.236,8.454,7.361,7.43,668861,5234262.563
2025-10-31,7.43,8.0,6.973,7.403,863900,6461575.243
2025-11-01,7.403,7.5,7.118,7.324,306546,2242956.429
2025-11-02,7.324,8.486,6.916,7.577,764807,5809621.466
2025-11-03,7.577,8.112,7.031,8.03,641875,4756800.135
2025-11-04,8.03,8.059,6.949,7.303,666774,5037673.197
2025-11-05,7.303,7.6,6.987,7.302,272088,1981830.122
2025-11-06,7.302,8.191,6.527,7.967,842893,6316437.057
2025-11-07,7.967,8.0,7.202,7.317,343113,2602318.179
2025-11-08,7.317,7.573,6.73,6.752,153391,1087923.658
2025-11-09,6.752,8.051,6.6,7.251,730823,5337684.629
2025-11-10,7.251,7.323,7.017,7.239,131567,942074.4
2025-11-11,7.239,7.5,7.109,7.259,112612,820963.079
2025-11-12,7.259,7.928,7.229,7.275,126675,943199.428
2025-11-13,7.275,7.337,6.982,7.145,96278,692047.828
2025-11-14,7.145,7.148,3.789,4.163,1499833,7076714.824
2025-11-15,4.163,5.153,3.428,4.62,2253265,9808336.787
2025-11-16,4.62,4.821,3.643,4.087,733654,3051655.002
2025-11-17,4.087,4.12,3.48,3.955,340757,1290280.105
2025-11-18,3.955,4.159,3.681,3.812,366436,1437981.307
2025-11-19,3.812,4.24,3.505,3.708,269507,1034395.878
2025-11-20,3.708,3.711,3.315,3.415,163044,572661.913
2025-11-21,3.415,3.617,3.159,3.456,198056,667890.061
2025-11-22,3.456,3.853,3.32,3.476,197006,707517.032
2025-11-23,3.476,3.79,3.442,3.621,61817,224407.427
2025-11-24,3.621,3.881,3.467,3.803,92598,339421.118
2025-11-25,3.803,3.894,3.515,3.629,133429,490485.379
2025-11-26,3.629,4.035,3.512,3.84,128201,476364.599
2025-11-27,3.84,3.92,3.521,3.567,98222,361663.944
2025-11-28,3.567,4.576,3.121,3.627,1241603,4914077.039
2025-11-29,3.627,4.198,3.418,3.478,1704851,6463630.641
2025-11-30,3.478,4.463,3.336,3.826,1214199,4762654.654
