timestamp,open,high,low,close,volume_base,volume_quote
2023-07-25,1.9746,2.456,1.9646,2.2548,66573863.0,148970206.1362
2023-07-26,2.2548,2.5526,2.1425,2.2504,43434633.0,102518057.1971
2023-07-27,2.2504,2.3186,2.0656,2.0992,12193918.0,26877681.4957
2023-07-28,2.0992,2.2404,2.0382,2.2192,11910761.0,25667925.5387
2023-07-29,2.2192,2.3742,2.176,2.3431,11458094.0,26253732.3731
2023-07-30,2.3431,2.4893,2.2204,2.2869,12861141.0,30447900.1403
2023-07-31,2.2869,2.3718,2.2364,2.3141,10503721.0,24161288.3625
2023-08-01,2.3141,2.4461,2.199,2.4256,9277970.0,21666354.7458
2023-08-02,2.4256,2.522,2.3048,2.3571,13389668.0,32262267.5875
2023-08-03,2.3571,2.3715,2.2508,2.3217,6572430.0,15184141.0348
2023-08-04,2.3217,2.3371,2.1434,2.1718,4366803.0,9834999.7382
2023-08-05,2.1718,2.1809,2.0833,2.1291,3419355.0,7285108.9551
2023-08-06,2.1291,2.1698,2.0088,2.0383,5364580.0,11074421.5222
2023-08-07,2.0383,2.1059,2.017,2.0397,4283285.0,8804226.5029
2023-08-08,2.0397,2.047,1.9034,1.938,6407590.0,12489657.2398
2023-08-09,1.938,1.9625,1.8062,1.8321,3758675.0,7155377.0257
2023-08-10,1.8321,1.8518,1.6602,1.6787,8583094.0,14914123.9108
2023-08-11,1.6787,1.77,1.649,1.7432,9470495.0,16197402.8971
2023-08-12,1.7432,1.8159,1.7219,1.7556,5422741.0,9580595.4061
2023-08-13,1.7556,1.8321,1.7555,1.7662,4411943.0,7937187.7029
2023-08-14,1.7662,1.8151,1.7429,1.7659,3454028.0,6182225.1907
2023-08-15,1.7659,1.7918,1.5636,1.6174,4938846.0,8337684.0108
2023-08-16,1.6174,1.6309,1.479,1.5205,4547079.0,7096535.0013
2023-08-17,1.5205,1.543,1.1942,1.366,6315224.0,9097307.3109
2023-08-18,1.366,1.5824,1.3217,1.5416,8547011.0,12803688.7418
2023-08-19,1.5416,1.5436,1.4436,1.4798,3506891.0,5202760.5338
2023-08-20,1.4798,1.5384,1.4592,1.4678,2697862.0,4044088.0653
2023-08-21,1.4678,1.5292,1.411,1.4749,3138861.0,4621414.9281
2023-08-22,1.4749,1.4985,1.3625,1.4326,3100152.0,4460742.789
2023-08-23,1.4326,1.4468,1.3322,1.4052,4905725.0,6815834.9712
2023-08-24,1.4052,1.4717,1.373,1.3993,2620613.0,3729058.4307
2023-08-25,1.3993,1.3999,1.2432,1.2687,3385374.0,4393904.5555
2023-08-26,1.2687,1.3237,1.2201,1.2921,4025226.0,5091044.9653
2023-08-27,1.2921,1.3127,1.2658,1.3103,3199583.0,4124683.4657
2023-08-28,1.3103,1.325,1.1917,1.2071,4112685.0,5141751.8169
2023-08-29,1.2071,1.3846,1.108,1.2958,16196341.0,19870025.1047
2023-08-30,1.2958,1.3323,1.2028,1.2226,5847785.0,7444840.2924
2023-08-31,1.2226,1.2739,1.1248,1.1356,4884877.0,5790854.2013
2023-09-01,1.1356,1.1468,1.0942,1.1232,5681981.0,6352313.4953
2023-09-02,1.1232,1.2117,1.1033,1.1337,9519726.0,11061755.8746
2023-09-03,1.1337,1.1528,1.1007,1.1293,3358486.0,3781712.0719
2023-09-04,1.1293,1.1698,1.0228,1.0479,6951343.0,7650595.3531
2023-09-05,1.0479,1.0968,1.018,1.0699,4547990.0,4781230.4205
2023-09-06,1.0699,1.3345,1.0509,1.2875,23366231.0,28494829.1983
2023-09-07,1.2875,1.3922,1.1933,1.2288,41102782.0,53116338.8459
2023-09-08,1.2288,1.253,1.111,1.1343,12207346.0,14363065.8772
2023-09-09,1.1343,1.1801,1.1198,1.1674,9110331.0,10436854.8836
2023-09-10,1.1674,1.179,1.054,1.0914,6975076.0,7652181.8709
2023-09-11,1.0914,1.1076,0.9953,1.0086,6561290.0,6854509.4668
2023-09-12,1.0086,1.0611,0.97,1.0102,7947608.0,8035174.1456
2023-09-13,1.0102,1.0391,0.9715,1.0117,6039264.0,6089714.0806
2023-09-14,1.0117,1.1152,0.9962,1.0658,7352142.0,7703914.6268
2023-09-15,1.0658,1.3735,1.047,1.3246,20440618.0,24994788.682
