symbol,avg_volume_quote
BTCUSDT,3731171053.507358
ETHUSDT,2863935758.7873535
SOLUSDT,472583800.6409611
XRPUSDT,263234073.20948112
XAUUSDT,189198278.46751112
XAGUSDT,160737087.41012
RIVERUSDT,79115277.06792222
DOGEUSDT,64240829.65240197
HYPEUSDT,62575445.686290786
CLUSDT,56208696.418377936
XAUTUSDT,54850408.601002224
PEPEUSDT,53519848.40692985
SUIUSDT,47245733.955116004
SIRENUSDT,43325331.900636554
TAOUSDT,39630445.558366
ADAUSDT,36927332.86706355
BZUSDT,34097592.52113077
ZECUSDT,33911251.029556446
TSLAUSDT,31912091.281716663
RAVEUSDT,27105684.054816112
BNBUSDT,26000807.747397777
LINKUSDT,25558971.2922
PAXGUSDT,23211116.96307389
PIPPINUSDT,21252771.586671446
CRCLUSDT,18482649.50721333
AXSUSDT,17186657.017154444
POWERUSDT,17024907.35602922
BCHUSDT,16433499.749968888
TRUMPUSDT,15402675.532773333
MSTRUSDT,14932033.68215778
EDGEUSDT,14411132.487842858
ENAUSDT,14233347.902917776
ENSOUSDT,13995718.21880889
LTCUSDT,13794732.762699999
NVDAUSDT,13692710.231430002
PUMPUSDT,13186347.32991399
ASTERUSDT,12617733.769064445
AVAXUSDT,12387516.239594443
NEARUSDT,11760237.728038888
DASHUSDT,11690078.30573
FARTCOINUSDT,11514753.956484556
DOTUSDT,11200252.94368889
STOUSDT,10801077.182486221
NOMUSDT,10315329.153649133
AAVEUSDT,10090051.679622222
COINUSDT,9613551.005625555
FILUSDT,9387726.398739666
WLDUSDT,9272167.153143333
XMRUSDT,9050281.79651
UNIUSDT,8936138.622977776
