time,open,high,low,close,volume,high_time,low_time
2021-01-03 20:00:00,0.89567,0.89611,0.89505,0.8954,5616359000.0,2021-01-03 22:16:09.239,2021-01-03 22:20:32.296
2021-01-04 00:00:00,0.89535,0.89603,0.89442,0.89476,16032856000.0,2021-01-04 00:32:15.236,2021-01-04 03:35:03.383
2021-01-04 04:00:00,0.89475,0.89616,0.89435,0.89595,13957937000.0,2021-01-04 07:54:33.007,2021-01-04 04:20:13.980
2021-01-04 08:00:00,0.89592,0.8996,0.89567,0.89923,28743918000.0,2021-01-04 09:49:07.456,2021-01-04 08:01:13.631
2021-01-04 12:00:00,0.89922,0.9045,0.89918,0.90377,39808035000.0,2021-01-04 15:29:57.989,2021-01-04 12:00:01.941
2021-01-04 16:00:00,0.90376,0.90485,0.90252,0.90308,30186264000.0,2021-01-04 17:08:59.724,2021-01-04 16:29:44.238
2021-01-04 20:00:00,0.90307,0.90369,0.90171,0.90281,9003672000.0,2021-01-04 20:10:37.548,2021-01-04 21:34:39.589
2021-01-05 00:00:00,0.90282,0.90344,0.90257,0.90332,11738260000.0,2021-01-05 03:50:38.784,2021-01-05 00:26:44.391
2021-01-05 04:00:00,0.90331,0.90379,0.90149,0.90332,15535891000.0,2021-01-05 07:58:00.313,2021-01-05 07:00:32.495
2021-01-05 08:00:00,0.90333,0.90546,0.90254,0.9038,29002607000.0,2021-01-05 09:00:11.367,2021-01-05 08:04:14.711
2021-01-05 12:00:00,0.90379,0.90478,0.90138,0.90302,39002944000.0,2021-01-05 13:42:56.158,2021-01-05 15:03:05.309
2021-01-05 16:00:00,0.90303,0.90328,0.90149,0.90272,24901340000.0,2021-01-05 18:43:28.386,2021-01-05 17:18:14.308
2021-01-05 20:00:00,0.90271,0.90285,0.90194,0.90251,6468787000.0,2021-01-05 23:11:22.890,2021-01-05 20:57:00.119
2021-01-06 00:00:00,0.90252,0.90348,0.9017,0.90327,22516780000.0,2021-01-06 03:16:53.264,2021-01-06 00:42:01.007
2021-01-06 04:00:00,0.90326,0.90397,0.90271,0.90339,23056380000.0,2021-01-06 07:51:14.542,2021-01-06 07:09:18.664
2021-01-06 08:00:00,0.9034,0.90482,0.90245,0.90394,30018565000.0,2021-01-06 08:59:47.067,2021-01-06 10:47:11.626
2021-01-06 12:00:00,0.90392,0.90851,0.90378,0.90638,41917232000.0,2021-01-06 14:05:12.788,2021-01-06 12:00:17.835
2021-01-06 16:00:00,0.90635,0.90666,0.90342,0.905,31519954000.0,2021-01-06 16:08:13.595,2021-01-06 18:13:22.769
2021-01-06 20:00:00,0.90498,0.90616,0.90495,0.90561,13829455000.0,2021-01-06 23:19:35.326,2021-01-06 20:20:59.275
2021-01-07 00:00:00,0.9056,0.90769,0.90494,0.90631,11022985000.0,2021-01-07 02:25:34.661,2021-01-07 00:05:58.602
2021-01-07 04:00:00,0.90633,0.90752,0.90591,0.90647,10804278000.0,2021-01-07 07:44:38.132,2021-01-07 05:58:55.542
2021-01-07 08:00:00,0.90648,0.90649,0.90155,0.90335,42585149000.0,2021-01-07 08:00:00.248,2021-01-07 10:20:53.225
2021-01-07 12:00:00,0.90334,0.9055,0.9015,0.90476,39728399000.0,2021-01-07 15:57:52.771,2021-01-07 12:55:12.865
2021-01-07 16:00:00,0.9048,0.90597,0.90385,0.90399,20606355000.0,2021-01-07 16:43:00.266,2021-01-07 19:19:31.755
2021-01-07 20:00:00,0.90398,0.90499,0.90348,0.90418,7128570000.0,2021-01-07 21:33:10.268,2021-01-07 22:04:01.030
2021-01-08 00:00:00,0.90416,0.90455,0.90332,0.90404,9531657000.0,2021-01-08 00:18:53.336,2021-01-08 01:16:20.220
2021-01-08 04:00:00,0.90405,0.90441,0.90113,0.90138,12438189000.0,2021-01-08 04:13:39.359,2021-01-08 07:51:57.804
2021-01-08 08:00:00,0.90137,0.90164,0.89934,0.90121,34434297000.0,2021-01-08 08:01:13.161,2021-01-08 09:52:40.034
2021-01-08 12:00:00,0.90122,0.90228,0.90032,0.90174,49497205000.0,2021-01-08 15:35:41.238,2021-01-08 12:27:47.965
2021-01-08 16:00:00,0.90176,0.90278,0.89966,0.90055,38443691000.0,2021-01-08 16:48:53.074,2021-01-08 19:00:39.080
2021-01-08 20:00:00,0.90057,0.90179,0.90044,0.90118,5093230000.0,2021-01-08 21:22:20.249,2021-01-08 20:00:10.497
2021-01-10 20:00:00,0.90014,0.90186,0.90003,0.90146,2965305000.0,2021-01-10 23:55:58.698,2021-01-10 23:00:08.328
2021-01-11 00:00:00,0.90147,0.90159,0.90079,0.90132,6165411000.0,2021-01-11 02:50:14.334,2021-01-11 01:21:04.829
2021-01-11 04:00:00,0.90131,0.90338,0.90112,0.9032,7567111000.0,2021-01-11 07:49:36.475,2021-01-11 04:16:33.691
2021-01-11 08:00:00,0.90322,0.90367,0.90082,0.90213,27625980000.0,2021-01-11 08:24:27.091,2021-01-11 10:28:52.951
2021-01-11 12:00:00,0.90212,0.90299,0.90041,0.90091,42375694000.0,2021-01-11 13:31:08.408,2021-01-11 15:43:52.588
2021-01-11 16:00:00,0.9009,0.90169,0.8989,0.89919,19357158000.0,2021-01-11 16:15:31.715,2021-01-11 19:29:15.722
2021-01-11 20:00:00,0.89918,0.89956,0.89842,0.89919,6758005000.0,2021-01-11 23:03:21.337,2021-01-11 22:04:01.023
2021-01-12 00:00:00,0.89921,0.89954,0.89789,0.89842,6732352000.0,2021-01-12 00:39:09.611,2021-01-12 02:46:30.705
2021-01-12 04:00:00,0.8984,0.8984,0.89695,0.89743,11094540000.0,2021-01-12 04:00:00.070,2021-01-12 07:10:42.157
2021-01-12 08:00:00,0.89742,0.89786,0.89326,0.89435,33356463000.0,2021-01-12 08:45:47.067,2021-01-12 11:19:11.456
2021-01-12 12:00:00,0.89436,0.89466,0.89208,0.89265,41379632000.0,2021-01-12 12:16:42.681,2021-01-12 15:29:48.863
2021-01-12 16:00:00,0.89266,0.89413,0.89205,0.89284,28117453000.0,2021-01-12 19:32:54.004,2021-01-12 16:56:24.460
2021-01-12 20:00:00,0.89285,0.89348,0.89271,0.89327,11036124000.0,2021-01-12 21:46:28.482,2021-01-12 22:27:27.818
2021-01-13 00:00:00,0.89328,0.89335,0.89229,0.89241,6973680000.0,2021-01-13 00:01:26.393,2021-01-13 03:47:56.284
2021-01-13 04:00:00,0.89242,0.89346,0.8918,0.892,13568864000.0,2021-01-13 06:49:28.233,2021-01-13 07:55:54.538
2021-01-13 08:00:00,0.89198,0.89255,0.88952,0.88976,34619136000.0,2021-01-13 08:06:01.828,2021-01-13 09:33:45.846
2021-01-13 12:00:00,0.88977,0.89218,0.88835,0.89164,42744801000.0,2021-01-13 15:49:18.309,2021-01-13 13:49:42.161
2021-01-13 16:00:00,0.89165,0.89262,0.89117,0.89166,16963468000.0,2021-01-13 16:09:32.637,2021-01-13 19:39:35.285
2021-01-13 20:00:00,0.89169,0.89188,0.89067,0.8911,5770732000.0,2021-01-13 20:08:40.934,2021-01-13 22:04:13.804
2021-01-14 00:00:00,0.89109,0.89151,0.89051,0.89062,10075634000.0,2021-01-14 02:36:05.810,2021-01-14 03:57:35.180
2021-01-14 04:00:00,0.8906,0.89153,0.88913,0.88916,12711396000.0,2021-01-14 06:26:20.733,2021-01-14 07:59:58.307
2021-01-14 08:00:00,0.88915,0.89163,0.88871,0.89033,26839406000.0,2021-01-14 09:46:36.541,2021-01-14 08:11:05.288
2021-01-14 12:00:00,0.89032,0.89043,0.88692,0.8871,46887230000.0,2021-01-14 12:02:14.969,2021-01-14 15:32:06.653
2021-01-14 16:00:00,0.88711,0.88938,0.88693,0.88837,25684096000.0,2021-01-14 18:21:52.265,2021-01-14 16:21:24.672
2021-01-14 20:00:00,0.88838,0.8886,0.88753,0.88796,6592812000.0,2021-01-14 20:01:39.018,2021-01-14 22:04:01.030
2021-01-15 00:00:00,0.88798,0.88813,0.88753,0.88794,9928394000.0,2021-01-15 02:11:55.922,2021-01-15 03:00:27.460
2021-01-15 04:00:00,0.88793,0.88856,0.88738,0.88816,8057460000.0,2021-01-15 07:37:43.888,2021-01-15 05:27:31.416
2021-01-15 08:00:00,0.88817,0.89009,0.88657,0.88883,23240105000.0,2021-01-15 09:58:10.219,2021-01-15 08:06:43.885
2021-01-15 12:00:00,0.88885,0.89072,0.88866,0.89025,35973552000.0,2021-01-15 14:01:04.797,2021-01-15 12:01:54.060
2021-01-15 16:00:00,0.89024,0.89062,0.88856,0.88928,17460695000.0,2021-01-15 16:09:57.760,2021-01-15 18:05:05.682
2021-01-15 20:00:00,0.88929,0.88943,0.88873,0.88905,3542550000.0,2021-01-15 20:01:43.139,2021-01-15 21:12:14.064
